metro,zip_count,total_returns,weighted_agi_per_return,weighted_interest_per_return,weighted_dividends_per_return,weighted_score,top_zip,top_zip_score
Greater Baltimore,146,1394320,97681.0,535.0,1998.0,31.0,21738,79.9
Greater Chicago,371,4578630,103997.0,788.0,2804.0,16.6,60043,75.1
